Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
221015;433149;50;26/07/2010;12;12;2010;296,7;11;144;4;8;4;18;FALSE
221019;410805;40;28/01/2010;14;14;2010;85,6;0;35;1;3;0;6;FALSE
221030;456446;90;18/05/2011;16;16;2011;46,4;4;1;2;5;1;1;FALSE
221033;433392;30;27/07/2010;11;11;2010;905,2;80;32;7;51;125;30;FALSE
221039;446147;40;10/01/2011;27;6;2011;133,7;0;7;0;8;0;9;FALSE
221042;440995;80;01/11/2010;12;9;2010;354,6;25;116;1;9;43;16;FALSE
221044;472732;45;23/01/2012;5;9;2012;152,5;1;14;32;10;0;10;FALSE
221057;471227;25;03/01/2012;11;11;2012;332,7;15;6;29;28;6;10;TRUE
221058;448429;30;08/02/2011;10;18;2011;218,8;23;17;26;12;13;5;FALSE
221062;423303;40;05/05/2010;6;13;2010;273,3;6;4;12;36;3;14;TRUE
221063;424322;75;10/05/2010;16;17;2010;525,2;23;34;23;30;18;27;FALSE
221080;362218;45;22/03/2009;8;11;2009;758;49;290;28;17;48;38;FALSE
221083;353726;50;03/02/2009;26;14;2009;530,2;19;282;22;16;29;34;FALSE
221094;355374;33;11/02/2009;8;13;2009;580,1;24;380;12;6;11;36;FALSE
221100;384875;35;09/08/2009;11;9;2009;94,3;0;50;5;1;0;7;FALSE
221114;353444;80;02/02/2009;11;16;2009;221,1;21;12;28;11;14;7;FALSE
221115;460574;37;19/07/2011;9;10;2011;203,2;15;67;4;4;5;9;FALSE
221117;501186;100;30/05/2013;3;7;2013;396,4;39;114;88;10;61;12;FALSE
221119;493885;50;19/01/2013;9;14;2013;307,9;6;32;8;25;2;19;FALSE
221120;492671;50;31/12/2012;9;17;2012;469,6;19;127;36;32;45;25;TRUE
221132;349364;40;13/01/2009;8;16;2009;352,1;8;41;27;20;4;24;FALSE
